session_id,episode_id,order,motor_masculinity,labor_masculinity,gendered_swearing,minority_exclusion,gender_double_standard,teacher_counterexample,group
S06,E1,1,0,1,0,1,0,0,B
S06,E1,2,0,1,0,1,1,0,B
S06,E1,3,1,0,0,1,1,1,B
S06,E1,4,1,1,0,1,0,0,B
S06,E1,5,0,0,0,1,0,1,B
S06,E1,6,0,1,0,0,1,1,B
S06,E1,7,0,0,1,0,1,0,B
S06,E1,8,1,1,0,0,1,0,B
S06,E1,9,1,1,0,1,0,0,B
S06,E1,10,0,0,0,0,0,1,B
S07,E1,1,0,1,1,1,1,0,B
S07,E1,2,0,1,0,1,0,1,B
S07,E1,3,0,0,1,0,1,1,B
S07,E1,4,0,0,1,0,0,0,B
S07,E1,5,1,1,0,0,1,0,B
S07,E1,6,0,0,0,1,0,1,B
S07,E1,7,0,0,0,1,0,0,B
S07,E1,8,0,1,0,0,0,1,B
S07,E1,9,0,0,0,0,1,1,B
S07,E1,10,1,0,0,1,0,1,B
S08,E1,1,0,1,1,0,1,0,A
S08,E1,2,1,0,0,0,1,0,A
S08,E1,3,0,1,1,0,0,0,A
S08,E1,4,0,0,0,0,0,0,A
S08,E1,5,0,1,0,0,1,1,A
S08,E1,6,0,0,1,1,0,0,A
S08,E1,7,0,0,1,1,1,1,A
S08,E1,8,0,1,0,1,0,0,A
S08,E1,9,1,1,1,0,1,0,A
S08,E1,10,0,0,0,0,1,0,A
S09,E1,1,0,0,1,0,0,1,A
S09,E1,2,1,1,1,0,1,1,A
S09,E1,3,0,0,1,1,0,0,A
S09,E1,4,0,1,0,0,0,1,A
S09,E1,5,1,1,0,0,1,0,A
S09,E1,6,0,0,0,0,0,0,A
S09,E1,7,0,1,0,0,0,1,A
S09,E1,8,1,0,1,0,0,1,A
S09,E1,9,1,0,0,1,1,1,A
S09,E1,10,0,0,0,0,0,0,A
S10,E1,1,0,0,1,1,0,1,B
S10,E1,2,0,0,0,0,1,0,B
S10,E1,3,0,0,0,1,0,1,B
S10,E1,4,1,0,0,1,0,0,B
S10,E1,5,1,1,0,0,0,1,B
S10,E1,6,0,0,0,1,0,0,B
S10,E1,7,0,0,0,0,0,1,B
S10,E1,8,0,1,0,0,0,1,B
S10,E1,9,1,0,0,0,0,0,B
S10,E1,10,1,0,0,0,1,0,B
S11,E1,1,1,0,1,1,0,0,B
S11,E1,2,1,0,0,0,0,1,B
S11,E1,3,1,0,1,0,0,0,B
S11,E1,4,0,0,0,1,1,0,B
S11,E1,5,0,0,0,0,1,1,B
S11,E1,6,0,1,0,0,1,0,B
S11,E1,7,0,0,0,0,0,0,B
S11,E1,8,0,1,0,0,0,0,B
S11,E1,9,0,0,0,0,0,1,B
S11,E1,10,1,1,0,0,0,0,B
S12,E1,1,1,0,1,1,0,0,B
S12,E1,2,1,1,1,1,0,1,B
S12,E1,3,1,1,0,1,0,0,B
S12,E1,4,0,0,1,0,1,0,B
S12,E1,5,0,1,0,0,1,0,B
S12,E1,6,0,0,1,1,1,0,B
S12,E1,7,1,1,0,0,1,1,B
S12,E1,8,1,0,0,1,1,0,B
S12,E1,9,1,0,1,0,0,1,B
S12,E1,10,0,1,1,0,0,0,B
S13,E1,1,1,0,0,0,1,0,A
S13,E1,2,1,0,1,1,0,0,A
S13,E1,3,1,0,1,1,1,1,A
S13,E1,4,0,1,1,1,0,0,A
S13,E1,5,1,0,0,0,1,1,A
S13,E1,6,1,1,0,1,0,0,A
S13,E1,7,0,0,0,1,0,0,A
S13,E1,8,1,0,0,0,0,1,A
S13,E1,9,0,0,0,0,1,0,A
S13,E1,10,1,1,0,1,1,0,A
S14,E1,1,1,0,0,0,1,1,A
S14,E1,2,0,0,1,1,0,1,A
S14,E1,3,0,1,0,0,0,1,A
S14,E1,4,0,0,1,1,1,1,A
S14,E1,5,0,0,1,1,1,0,A
S14,E1,6,0,0,0,0,0,0,A
S14,E1,7,1,0,1,0,1,0,A
S14,E1,8,1,0,1,0,0,1,A
S14,E1,9,1,1,0,1,0,0,A
S14,E1,10,1,1,1,0,1,0,A
S15,E1,1,0,1,0,1,1,0,B
S15,E1,2,0,0,0,1,0,0,B
S15,E1,3,0,0,0,1,1,0,B
S15,E1,4,1,0,0,1,0,1,B
S15,E1,5,0,1,0,0,1,1,B
S15,E1,6,1,1,0,0,1,1,B
S15,E1,7,1,0,0,0,0,1,B
S15,E1,8,1,0,0,1,0,0,B
S15,E1,9,1,0,0,0,1,0,B
S15,E1,10,1,0,0,1,0,0,B
S16,E1,1,0,0,0,1,0,0,B
S16,E1,2,0,0,0,0,0,0,B
S16,E1,3,0,0,1,0,0,0,B
S16,E1,4,0,1,0,0,1,1,B
S16,E1,5,0,0,0,0,1,1,B
S16,E1,6,1,0,1,1,0,1,B
S16,E1,7,1,0,0,0,0,1,B
S16,E1,8,0,0,0,0,0,0,B
S16,E1,9,0,0,0,0,1,0,B
S16,E1,10,1,0,1,1,1,1,B
S17,E1,1,0,1,0,0,0,0,B
S17,E1,2,0,0,0,0,0,0,B
S17,E1,3,1,0,0,0,0,1,B
S17,E1,4,0,0,1,0,1,0,B
S17,E1,5,0,1,0,1,0,1,B
S17,E1,6,0,0,0,0,0,1,B
S17,E1,7,1,0,0,0,0,1,B
S17,E1,8,0,1,0,0,1,0,B
S17,E1,9,0,0,0,1,1,1,B
S17,E1,10,0,1,0,0,0,1,B
S18,E1,1,0,0,0,0,0,0,A
S18,E1,2,0,1,0,1,0,1,A
S18,E1,3,0,0,0,0,0,0,A
S18,E1,4,0,0,0,0,0,1,A
S18,E1,5,1,1,0,1,0,0,A
S18,E1,6,0,0,1,0,1,0,A
S18,E1,7,0,1,1,0,1,1,A
S18,E1,8,1,0,0,1,0,1,A
S18,E1,9,0,0,1,0,0,0,A
S18,E1,10,0,0,1,0,0,1,A
S19,E1,1,0,1,1,0,1,1,A
S19,E1,2,0,0,0,0,0,0,A
S19,E1,3,0,0,0,0,0,1,A
S19,E1,4,0,1,1,0,1,0,A
S19,E1,5,1,0,0,1,1,1,A
S19,E1,6,0,0,0,1,0,1,A
S19,E1,7,0,0,0,1,0,1,A
S19,E1,8,0,0,0,0,1,0,A
S19,E1,9,0,0,0,0,1,1,A
S19,E1,10,0,1,0,0,0,1,A
S20,E1,1,0,1,0,0,0,0,A
S20,E1,2,1,0,1,0,0,0,A
S20,E1,3,0,1,0,1,0,0,A
S20,E1,4,0,0,0,1,0,0,A
S20,E1,5,0,0,0,0,0,1,A
S20,E1,6,1,0,0,1,0,0,A
S20,E1,7,0,0,1,1,1,1,A
S20,E1,8,0,1,1,1,0,1,A
S20,E1,9,0,1,0,0,1,1,A
S20,E1,10,1,0,1,0,0,1,A
