session_id,episode_id,order,expectation,friendliness,violence,group
S19,E1,1,3,2,3,A
S19,E1,2,2,2,2,A
S19,E1,3,2,1,0,A
S19,E1,4,2,0,2,A
S19,E1,5,2,2,2,A
S19,E1,6,1,2,1,A
S19,E1,7,2,2,3,A
S19,E1,8,3,2,3,A
S19,E1,9,2,1,3,A
S19,E1,10,2,0,2,A
S20,E1,1,0,2,3,A
S20,E1,2,1,0,2,A
S20,E1,3,1,2,3,A
S20,E1,4,1,1,3,A
S20,E1,5,2,1,3,A
S20,E1,6,3,3,0,A
S20,E1,7,3,1,3,A
S20,E1,8,1,2,3,A
S20,E1,9,2,0,1,A
S20,E1,10,3,1,1,A
